ANOMES,ANOEXERCICIO,MES,NOMEORGAO,CNPJORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA
201408,2014,Ago,"PROTEGE GOIAS",6084202000145,Direta,Executivo,2.984041667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",2.860149674E7
201408,2014,Ago,"ESTADO DE GOIAS",,N/A,N/A,3.4422E7,"ALIENACAO DE BENS",
201408,2014,Ago,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,3.4421E7,"ALIENACAO DE BENS",
201408,2014,Ago,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",3280530000129,Direta,Executivo,16500.0,"ALIENACAO DE BENS",
201408,2014,Ago,"FUNDO ESTADUAL DE DESENVOL.DO NORDESTE",4916251000171,Direta,Executivo,238833.33000000002,"ALIENACAO DE BENS",
201408,2014,Ago,"UNIVERSIDADE ESTADUAL DE GOIAS",1112580000171,Indireta,Executivo,83.33,"ALIENACAO DE BENS IMOVEIS",
201408,2014,Ago,"ESTADO DE GOIAS",,N/A,N/A,246916.66,"ALIENACAO DE BENS MOVEIS",
201408,2014,Ago,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,245916.66,"ALIENACAO DE BENS MOVEIS",
201408,2014,Ago,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,250.0,"ALIENACAO DE BENS MOVEIS",
201408,2014,Ago,"FUNDO CAP. SERV. E MOD. - FUNCAM",13301077000143,Direta,Executivo,238833.33000000002,"ALIENACAO DE BENS MOVEIS",
201408,2014,Ago,"ESTADO DE GOIAS",,N/A,N/A,2.184166666E7,"ALIENACAO DE IMOVEIS RURAIS",0.0
201408,2014,Ago,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,2.18335E7,"ALIENACAO DE IMOVEIS RURAIS",0.0
201408,2014,Ago,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,4166.67,"ALIENACAO DE IMOVEIS URBANOS",
201408,2014,Ago,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,2.325416667E7,"ALIENACAO DE IMOVEIS URBANOS",0.0
201408,2014,Ago,EMATER,13232306000115,Indireta,Executivo,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",
201408,2014,Ago,"ESTADO DE GOIAS",,N/A,N/A,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",4000000.0
201408,2014,Ago,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",
201408,2014,Ago,"AG. GOIANA DE REG. CONT. E FISC. S.PUBL",3537650000169,Indireta,Executivo,5833.34,"ALIENACAO DE OUTROS BENS MOVEIS",
201408,2014,Ago,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,500.0,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
201408,2014,Ago,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",3280530000129,Direta,Executivo,,"ALIENACAO DE OUTROS BENS MOVEIS",1.2E7
201408,2014,Ago,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,2.325416667E7,"ALIENAÇÃO DE IMÓVEIS URBANOS",0.0
201408,2014,Ago,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,83.33,"ALIENAÇÃO DE IMÓVEIS URBANOS",
201408,2014,Ago,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",3521741000106,Indireta,Executivo,83.33,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",
201408,2014,Ago,"AGENCIA GOIANA DE TURISMO",3549463000103,Indireta,Executivo,4166.66,ALUGUEIS,
201408,2014,Ago,"AGÊNCIA GOIANA DE COMUNICAÇÃO",3520902000147,Indireta,Executivo,4166.66,ALUGUEIS,4550.0
201408,2014,Ago,EMATER,13232306000115,Indireta,Executivo,2833.34,ALUGUEIS,9800.0
201408,2014,Ago,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,391333.32,ALUGUEIS,356031.48
201408,2014,Ago,"ESTADO DE GOIAS - PODER JUDICIARIO",,N/A,N/A,166666.66,ALUGUEIS,254916.7
201408,2014,Ago,"ESTADO DE GOIAS - PODER LEGISLATIVO",,N/A,N/A,6166.66,ALUGUEIS,14328.720000000001
201408,2014,Ago,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",7004223000176,Direta,N/A,4833.34,ALUGUEIS,4353.24
201408,2014,Ago,"FUNDO EST. CENTRO CULT. OSCAR NIEMEYER",14188263000180,Direta,Executivo,188833.34,ALUGUEIS,49580.0
201408,2014,Ago,"FUNDO ESP.DE GERACAO DE EMPREG.E RENDA",3198567000102,Direta,Executivo,8083.33,"AMORTIZACAO DE EMPRESTIMOS",
201408,2014,Ago,"ESTADO DE GOIAS",,N/A,N/A,50916.67,"AMORTIZACAO DE EMPRESTIMOS - FOMENTAR",38595.49
201408,2014,Ago,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,50916.67,"AMORTIZACAO DE EMPRESTIMOS - FOMENTAR",38595.49
201408,2014,Ago,"FUNDO PART.A INDUSTRIALIZACAO-FOMENTAR",1460666000195,Direta,Executivo,50916.67,"AMORTIZACAO DE EMPRESTIMOS - FOMENTAR",38595.49
201408,2014,Ago,FUNPRODUZIR,4352350000178,Direta,Executivo,134583.33000000002,"AMORTIZACAO DE EMPRESTIMOS - PRODUZIR",450218.14
201408,2014,Ago,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,193583.33000000002,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",815603.13
201408,2014,Ago,"FUNDO DE FOMENTO A MINERACAO",3609406000164,Direta,Executivo,,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",326789.5
