ANOMES,ANOEXERCICIO,MES,NOMEORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA,CNPJORGAO
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,83.33,"ADICIONAL DE ICMS 2% - LEI 15.5005/05 - AUTO DE INFRACAO",,
200904,2009,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,83.33,"ADICIONAL DE ICMS 2% - LEI 15.5005/05 - AUTO DE INFRACAO",,
200904,2009,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,1.742983333E7,"ADICIONAL DE ICMS 2% - LEI 15.505/2005",1.153648767E7,
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,1.742983333E7,"ADICIONAL DE ICMS 2% - LEI 15.505/2005",1.153648767E7,
200904,2009,Abr,"FUNDO SOCIAL DE LOTERIA",Direta,Executivo,1.742983333E7,"ADICIONAL DE ICMS 2% - LEI 15.505/2005",,4354889000166
200904,2009,Abr,"AG. GOIANA DE REG. CONT. E FISC. S.PUBL",Indireta,Executivo,166.67000000000002,"ALIENACAO DE BENS",,3537650000169
200904,2009,Abr,"AGENCIA GOIANA DE DESENVOLV. REGIONAL",Indireta,Executivo,250.0,"ALIENACAO DE BENS",,3540410000113
200904,2009,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,209333.33000000002,"ALIENACAO DE BENS",83700.0,
200904,2009,Abr,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,416.67,"ALIENACAO DE BENS",0.0,
200904,2009,Abr,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",Direta,N/A,1000.0,"ALIENACAO DE BENS",,7004223000176
200904,2009,Abr,"FUNDO EST. DE SEGURANCA PUBLICA-FUNESP",Direta,Executivo,208333.33000000002,"ALIENACAO DE BENS",0.0,2658753000114
200904,2009,Abr,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,3916.67,"ALIENACAO DE BENS IMOVEIS",1365.46,
200904,2009,Abr,"AGENCIA GOIANA DE DESENVOLV. REGIONAL",Indireta,Executivo,250.0,"ALIENACAO DE BENS MOVEIS",,3540410000113
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,214916.67,"ALIENACAO DE BENS MOVEIS",83700.0,
200904,2009,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,209333.33000000002,"ALIENACAO DE BENS MOVEIS",83700.0,
200904,2009,Abr,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,416.67,"ALIENACAO DE BENS MOVEIS",0.0,
200904,2009,Abr,"FUNDO EST. DE SEGURANÇA PÚBLICA-FUNESP",Direta,Executivo,416666.66000000003,"ALIENACAO DE BENS MOVEIS",,2658753000114
200904,2009,Abr,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,750.0,"ALIENACAO DE IMOVEIS URBANOS",1365.46,1409655000180
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,426500.0,"ALIENACAO DE OUTROS BENS MOVEIS",0.0,
200904,2009,Abr,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,833.34,"ALIENACAO DE OUTROS BENS MOVEIS",0.0,
200904,2009,Abr,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",Direta,N/A,2000.0,"ALIENACAO DE OUTROS BENS MOVEIS",,7004223000176
200904,2009,Abr,"UNIVERSIDADE ESTADUAL DE GOIAS",Indireta,Executivo,,"ALIENACAO DE OUTROS BENS MOVEIS",0.0,1112580000171
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,1333.34,"ALIENACAO DE TITULOS MOBILIARIOS",,
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,750.0,"ALIENAÇÃO DE IMOVEIS URBANOS",1365.46,
200904,2009,Abr,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,750.0,"ALIENAÇÃO DE IMOVEIS URBANOS",1365.46,1409655000180
200904,2009,Abr,"AGENCIA GOIANA DE ESPORTE E LAZER",Indireta,Executivo,2333.34,ALUGUEIS,41774.0,5470294000139
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,85500.02,ALUGUEIS,112706.06,
200904,2009,Abr,FUNPRODUZIR,Direta,Executivo,,"AMORTIZACAO DE EMPRESTIMOS",46176.24,4352350000178
200904,2009,Abr,"FUNDO PART.A INDUSTRIALIZACAO-FOMENTAR",Direta,Executivo,,"AMORTIZACAO DE EMPRESTIMOS - FOMENTAR",375645.71,1460666000195
200904,2009,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"AMORTIZACAO DE EMPRESTIMOS - PRODUZIR",46176.24,
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"AMORTIZACAO DE EMPRESTIMOS - PRODUZIR",46176.24,
200904,2009,Abr,FUNPRODUZIR,Direta,Executivo,,"AMORTIZACAO DE EMPRESTIMOS - PRODUZIR",46176.24,4352350000178
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,333333.33,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",421821.95,
200904,2009,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,333333.33,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",421821.95,
200904,2009,Abr,"FUNDO PART.A INDUSTRIALIZACAO-FOMENTAR",Direta,Executivo,,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",375645.71,1460666000195
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,333333.33,"AMORTIZAÇÃO DE EMPRÉSTIMOS - FUNMINERAL",,
200904,2009,Abr,"FUNDO DE FOMENTO A MINERACAO",Direta,Executivo,333333.33,"AMORTIZAÇÃO DE EMPRÉSTIMOS - FUNMINERAL",,3609406000164
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,3333416.66,"ATUALIZACAO MONETARIA DO ADICIONAL ICMS 2% DIVIDA ATIVA",,
200904,2009,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,83.33,"ATUALIZACAO MONETARIA DO ADICIONAL ICMS 2% DIVIDA ATIVA",,
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"ATUALIZAÇÃO MONET ICMS - DIVIDA ATIVA",1333416.73,
200904,2009,Abr,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,,"ATUALIZAÇÃO MONETARIA ICMS AUTO INFRAÇÃO",586202.67,
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"ATUALIZAÇÃO MONETARIA ICMS AUTO INFRAÇÃO",586202.67,
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,,"ATUALIZAÇÃO MONETARIA ITCD AUTO INFRAÇÃO",926.69,
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"ATUALIZAÇÃO MONETARIA ITCD AUTO INFRAÇÃO",926.69,
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,,"ATUALIZAÇÃO MONETÁRIA - ICMS DIFERENCIAL",0.0,
200904,2009,Abr,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,,"ATUALIZAÇÃO MONETÁRIA - ICMS FOMENTAR PA",0.0,
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"ATUALIZAÇÃO MONETÁRIA - ICMS FOMENTAR PA",0.0,
200904,2009,Abr,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,,"ATUALIZAÇÃO MONETÁRIA - ICMS FOMENTAR PA",0.0,1409655000180
200904,2009,Abr,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,,"ATUALIZAÇÃO MONETÁRIA - ICMS IMPORTAÇÃO",5769.91,1409655000180
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,,"ATUALIZAÇÃO MONETÁRIA - ICMS SUBST SERV",7697.27,
200904,2009,Abr,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,,"ATUALIZAÇÃO MONETÁRIA DO ICMS AÇÃO FISCA",0.0,
200904,2009,Abr,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,,"ATUALIZAÇÃO MONETÁRIA DO ICMS AÇÃO FISCA",0.0,1409655000180
200904,2009,Abr,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,,"ATUALIZAÇÃO MONETÁRIA DO ICMS NORMAL",4129477.1,
200904,2009,Abr,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,,"ATUALIZAÇÃO MONETÁRIA DO ICMS SUBST. OPE",1.83,1409655000180
200904,2009,Abr,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,,"ATUALIZAÇÃO MONETÁRIA DO IPVA",146738.78,1409655000180
200904,2009,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"BOLSA GARANTIA FOMENTAR",5169781.93,
200904,2009,Abr,"AGENCIA GOIANA DE TURISMO",Indireta,Executivo,459416.67,"COMERCIALIZAÇÃO DE SERVIÇOS DE FONOGRAFIA, VIDEOFONOGRAMA E IMPRESSOS OFICIAIS",,3549463000103
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,459416.67,"COMERCIALIZAÇÃO DE SERVIÇOS DE FONOGRAFIA, VIDEOFONOGRAMA E IMPRESSOS OFICIAIS",407565.46,
200904,2009,Abr,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,459416.67,"COMERCIALIZAÇÃO DE SERVIÇOS DE FONOGRAFIA, VIDEOFONOGRAMA E IMPRESSOS OFICIAIS",407565.46,
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,110833.33,"COMPENSACAO FINANCEIRA PREVIDENCIARIA",497143.22000000003,
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,36666.67,"CONCESSÕES E PERMISSÕES DA GOIÁS TURISMO",,
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,36666.67,"CONCESSÕES E PERMISSÕES DA GOIÁS TURISMO",,
200904,2009,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,1.566383333E7,"CONTRIBUICAO DE SERVIDOR ATIVO CIVIL",8991044.02,
200904,2009,Abr,"FUNDO DE APORTE À CELG D. S.A - FUNAC",Direta,Executivo,1.566383333E7,"CONTRIBUICAO DE SERVIDOR ATIVO CIVIL",,16961597000170
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,5363166.67,"CONTRIBUICAO DE SERVIDOR ATIVO MILITAR",5655008.32,
200904,2009,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,5363166.67,"CONTRIBUICAO DE SERVIDOR ATIVO MILITAR",5655008.32,
200904,2009,Abr,"INST. DE PREV. E ASSIST. SERV. ESTADO",Indireta,Executivo,4.595833333E7,"CONTRIBUICAO PARA ASSISTENCIA HOSPITALAR INTEGRAL",5.352420131E7,1246693000160
200904,2009,Abr,"FUNDO DE PREVIDÊNCIA ESTADUAL",Direta,Executivo,,"CONTRIBUICAO PATRONAL - ATIVO CIVIL",132674.3,4050973000196
200904,2009,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,121750.0,"CONTRIBUICOES DE PENSIONISTA MILITAR",122533.45,
200904,2009,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,1760833.33,"CONTRIBUICOES DE SERVIDOR INATIVO CIVIL",67538.91,
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,1760833.33,"CONTRIBUICOES DE SERVIDOR INATIVO CIVIL",67538.91,
200904,2009,Abr,"FUNDO DE APORTE À CELG D. S.A - FUNAC",Direta,Executivo,1760833.33,"CONTRIBUICOES DE SERVIDOR INATIVO CIVIL",,16961597000170
200904,2009,Abr,"FUNDO DE APORTE À CELG D. S.A - FUNAC",Direta,Executivo,2.435375E7,"CONTRIBUICOES PREVIDENCIARIAS DO REGIME PROPRIO",,16961597000170
200904,2009,Abr,"FUNDO DE PREVIDÊNCIA ESTADUAL",Direta,Executivo,2.435375E7,"CONTRIBUICOES PREVIDENCIARIAS DO REGIME PROPRIO",1.567614512E7,4050973000196
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,5649916.67,"CONTRIBUIÇÕES AO PROTEGE",6954921.67,
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,4716583.33,"COTA - PARTE DA CONTRIBUICAO DO SALARIO EDUCACAO",4346367.63,
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,1495333.34,"COTA-PARTE DA COMPENSACAO FINANCEIRA DE RECURSOS MINERAIS",511828.79000000004,
200904,2009,Abr,"FUNDO DE FOMENTO A MINERACAO",Direta,Executivo,747666.67,"COTA-PARTE DA COMPENSACAO FINANCEIRA DE RECURSOS MINERAIS",,3609406000164
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,425250.0,"COTA-PARTE DO FUNDO ESPECIAL DO PETROLEO - FEP",226180.37,
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,,"COTA-PARTE DO IMPOSTO S/OPERACOES DE CREDITO, CAMBIO E SEGURO OU RELATIVAS A TITULOS OU VALORES MOBILIARIOS - COMERCIALI",64.21000000000001,
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,28833.33,"Credito Especial de Investimento- Portege Goias- Lei 15.454/2005",32898.08,
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,28833.33,"Credito Especial de Investimento- Portege Goias- Lei 15.454/2005",32898.08,
200904,2009,Abr,"JUNTA COMERCIAL EST. GOIÁS - JUCEG",Indireta,Executivo,,"DEDUCAO DA RECEITA TRIBUTARIA",0.0,2088698000174
200904,2009,Abr,"PROTEGE GOIAS",Direta,Executivo,,"DEDUCAO DA RECEITA TRIBUTARIA",0.0,6084202000145
200904,2009,Abr,"ESTADO DE GOIAS",N/A,N/A,-661666.67,"DEDUCAO DE RECEITA IPI EXPORTAÇÃO PARA FORMAÇÃO DO FUNDEB",-415628.69,
200904,2009,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇAO DE OUTRAS TAXAS PELO PODER DE POLICIA",0.0,
